trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",25,15,18.296543329908264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,14,18.960681801035456,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,14,10.647929312719976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",20,0,11.4443912736703,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",25,14,14.710201634743674,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",30,21,5.448420242458537,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,13,15.761932224728145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",20,0,-20.473046797667003,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,10,-41.28202773920752,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,16,8.172749611744337,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,6,18.01954512407103,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",30,15,-3.4267573481417375,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",30,11,-29.129115728726237,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,6,25.45688748072964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",20,7,13.692800284175311,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",20,10,20.909994625639303,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",20,9,15.939253715404796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",20,16,8.294373022920007,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",20,13,14.413270334163945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",20,13,6.529808617718721,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,0,-2.5207536300148945,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",35,15,13.120337037844738,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",25,0,10.64924370883381,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",25,13,13.180056698702863,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",30,17,11.602722575325432,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",20,14,-0.8861425224103663,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
